Name,Version,License,Make check result,Compiler,Remarks,Last update
abinit,8.10.2,,N/A,fj\@4.8.0,,2022/4/20
adios2,2.7.1,,N/A,fj\@4.7.0,,2021/12/16
alps,\-,,,,,
batchedblas,1.0,,N/A,fj\@4.8.0,,2022/4/20
bcftools,1.12,,N/A,fj\@4.7.0,,2021/12/16
bedtools2,2.30.0,,N/A,fj\@4.7.0,,2021/12/16
biobambbam2,2.0.177,,N/A,fj\@4.7.0,,2021/12/16
blitz,1.0.1,,N/A,fj\@4.7.0,,2021/12/16
boost,1.77.0,,N/A,fj\@4.7.0,,2021/12/16
bwa,0.7.17,,N/A,fj\@4.7.0,,2022/1/31
cblas,2015-06-06,,N/A,fj\@4.7.0,,2021/12/16
cmake,3.21.4,,N/A,fj\@4.7.0,,2021/12/16
cp2k,7.1 / 9.1,,N/A,fj\@4.8.0,,2022/7/4
dssp,3.1.4,,N/A,fj\@4.7.0,,2021/12/16
eigenexa,2.6,,N/A,fj\@4.7.0,,2021/10/20
fujitsu-fftw,1.1.0,,N/A,fj\@4.8.0,Optimized for A64FX / Based on FFTW 3.3.10,2022/4/20
fujitsu-frontistr,5.0,,N/A,fj\@4.8.0,Optimized for A64FX,2022/4/20
fujitsu-mpi,head,,N/A,fj\@4.7.0 / gcc\@8.4.1 / gcc\@11.2.0,,2021/12/16
fujitsu-ssl2,head,,N/A,fj\@4.7.0,,2021/12/16
gcc,11.2.0,,N/A,gcc\@8.4.1,,2021/12/16
genesis,1.5.1,,N/A,fj\@4.7.0,,2021/12/16
gmt,6.2.0,,N/A,fj\@4.8.0,,2022/8/15
grads,2.2.1,,N/A,fj\@4.7.0,,2021/12/16
gromacs,2021.4,,N/A,fj\@4.7.0,\*1,2021/12/16
h5z-zfp,1.0.1,,N/A,fj\@4.8.0,,2022/4/20
hdf5,1.10.7,,N/A,fj\@4.7.0,,2021/12/16
htslib,1.12,,N/A,fj\@4.7.0,,2021/12/16
improved-rdock,main,,N/A,fj\@4.8.0,,
julia,1.6.3,,N/A,fj\@4.7.0,,2021/12/16
kokkos,3.4.01,,N/A,fj\@4.7.0,,2021/12/16
