Name,Version,License,"Make check result",Compiler,Remarks,"Last update"
abinit,9.6.1,,N/A,fj\@4.8.1,,2023/12/3
abinitmp,"1-22 / 2-4",,N/A,fj\@4.8.1,,2023/12/3
adios2,2.8.3,,N/A,fj\@4.8.1,,2023/2/2
akaikkr,"2002v010 / 2021v001",,N/A,fj\@4.8.1,,2023/12/3
alamode,"1.3.0 / 1.4.2",,N/A,fj\@4.8.1,,2023/12/3
batchedblas,1.0,,N/A,fj\@4.8.1,,2023/2/2
bcftools,1.12,,N/A,fj\@4.8.1,,2023/2/2
bedtools2,2.30.0,,N/A,fj\@4.8.1,,2023/2/2
biobambbam2,2.0.177,,N/A,fj\@4.8.1,,2023/2/2
blitz,1.0.2,,N/A,fj\@4.8.1,,2023/3/28
boost,1.80.0,,N/A,fj\@4.8.1,,2023/2/2
braket,1.6.0,,N/A,fj\@4.8.1,,2023/12/3
bwa,0.7.17,,N/A,fj\@4.8.1,,2023/2/2
cblas,2015-06-06,,N/A,fj\@4.8.1,,2023/2/2
cmake,3.24.3,,N/A,fj\@4.8.1,,2023/2/2
cp2k,7.1,,N/A,fj\@4.8.1,,2023/2/2
cpmd,4.3,,N/A,fj\@4.8.1,,2023/8/4
darshan-runtime,3.4.0,,N/A,fj\@4.8.1,,2023/3/16
dssp,3.1.4,,N/A,fj\@4.8.1,,2023/2/2
eigen,3.4.0,,N/A,fj\@4.8.1,,2023/2/2
eigenexa,2.6,,N/A,fj\@4.8.1,,2023/2/2
fds,6.7.9,,N/A,fj\@4.8.1,,2023/12/3
ffb,9.0,,N/A,fj\@4.8.1,,2023/12/3
ffvhc-ace,0.1,,N/A,fj\@4.8.1,,2023/12/3
ffx,59.01,,N/A,fj\@4.8.1,,2023/12/3
frontistr,5.4,,N/A,fj\@4.8.1,,2024/1/15
fugaku-frontistr,5.4,,N/A,fj\@4.8.1,"Optimized for A64FX / Based on the ""fugaku"" branch",2023/2/2
fujitsu-fftw,1.1.0,,N/A,fj\@4.8.1,"Optimized for A64FX / Based on FFTW 3.3.10",2023/2/2
fujitsu-mpi,head,,N/A,fj\@4.8.1 / gcc\@8.5.0 / gcc\@12.2.0,,2023/10/26
fujitsu-ssl2,head,,N/A,fj\@4.8.1,,2023/2/2
gcc,"10.4.0 / 12.2.0",,N/A,gcc\@8.5.0,,2023/12/3
genesis,"1.6.0 / 2.0.3 / 2.1.1",,N/A,fj\@4.8.1,,2024/1/15
gmt,6.2.0,,N/A,fj\@4.8.1,,2023/3/30
grads,2.2.1,,N/A,fj\@4.8.1,,2023/2/2
gromacs,"2020.6 / 2021.5 / 2022.4 / 2023.1 / 2023.2",,N/A,fj\@4.8.1,\*1,2023/12/3
h5z-zfp,1.0.1,,N/A,fj\@4.8.1,,2023/3/29
hdf5,1.12.2,,N/A,fj\@4.8.1,,2023/2/2
hphi,"3.5.0 / 3.5.1",,N/A,fj\@4.8.1,,2023/12/3
htslib,1.12,,N/A,fj\@4.8.1,,2023/2/2
improved-rdock,main,,N/A,fj\@4.8.1,,2023/4/12
julia,,,,,,
kim-api,2.2.1,,N/A,fj\@4.8.1,,2023/12/3
kokkos,3.7.00,,N/A,fj\@4.8.1,,2023/2/2
lammps,"20201029 / 20220623.2",,N/A,fj\@4.8.1,"+user-omp / 64-bit integer \*1",2023/3/30
libxc,"4.3.4 / 5.2.3",,N/A,fj\@4.8.1,,2023/12/3
lis,2.0.27,,N/A,fj\@4.8.1,,2023/2/2
llvm,15.0.4,,N/A,fj\@4.8.1,,2023/2/2
julia,"1.6.3 / 1.9.3",,N/A,"fj\@4.8.1 / gcc\@12.2.0",,2024/1/15
mapsplice2,2.2.1,,N/A,fj\@4.8.1,,2023/2/2
mesa,"22.1.2 / 22.1.6",,N/A,"fj\@4.8.1 / gcc\@8.5.0",,2023/12/3
metis,5.1.0,,N/A,fj\@4.8.1,,2023/2/2
modylas-new,1.1.0b,,N/A,fj\@4.8.1,,2023/12/3
