Name,Version,Compiler,Remarks
abinitmp,1-22,fj\@4.11.1,
abinitmp,2-4,fj\@4.11.1,
abinitmp,2-8,fj\@4.11.1,
adios2,2.9.2,fj\@4.10.0,
akaikkr,2002v010,fj\@4.10.0,
akaikkr,2021v001,fj\@4.10.0,
akaikkr,2021v002,fj\@4.10.0,
alamode,1.3.0,fj\@4.10.0,
alamode,1.4.2,fj\@4.10.0,
alamode,1.5.0,fj\@4.10.0,
batchedblas,1.0,fj\@4.10.0,
bcftools,1.12,fj\@4.10.0,
bedtools2,2.31.0,fj\@4.10.0,
biobambam2,2.0.177,fj\@4.10.0,
blitz,1.0.2,fj\@4.10.0,
boost,1.83.0,fj\@4.10.0,
boost,1.85.0,fj\@4.10.0,
braket,1.6.0,fj\@4.11.1,
bwa,0.7.17,fj\@4.10.0,
cbc,2.10.9,fj\@4.11.1,
cblas,2015-06-06,fj\@4.10.0,
cmake,3.17.1,fj\@4.10.0,
cmake,3.21.4,fj\@4.10.0,
cmake,3.27.7,fj\@4.10.0,
cp2k,2023.1,fj\@4.10.0,smm=libxsmm
cp2k,2023.1,fj\@4.10.0,smm=blas
cp2k,2023.1,fj\@4.10.0,smm=libsmm
cpmd,4.3,fj\@4.10.0,~mpi~omp
cpmd,4.3,fj\@4.11.1,+mpi+omp
darshan-runtime,3.4.0,fj\@4.10.0,
dssp,3.1.4,fj\@4.10.0,
eigen,3.4.0,fj\@4.10.0,
eigenexa,2.6,fj\@4.10.0,
ermod,0.3.6,fj\@4.10.0,
fds,6.7.9,fj\@4.10.0,
fds,6.8.0,fj\@4.10.0,
ffb,9.0,fj\@4.10.0,
ffvhc-ace,0.1,fj\@4.8.1,
ffx,03.01,fj\@4.10.0,
frontistr,5.4,fj\@4.10.0,
frontistr,5.5,fj\@4.10.0,
fugaku-frontistr,master,fj\@4.10.0,
fujitsu-fftw,1.1.0,fj\@4.10.0,
fujitsu-mpi,head,fj\@4.10.0,
fujitsu-mpi,head,gcc\@8.5.0,
fujitsu-ssl2,head,fj\@4.10.0,
gcc,10.5.0,gcc\@8.5.0,
gcc,11.4.0,gcc\@8.5.0,
gcc,12.2.0,gcc\@8.5.0,
gcc,13.2.0,gcc\@8.5.0,
genesis,2.1.1,fj\@4.10.0,+mixed
genesis,2.1.1,fj\@4.10.0,~mixed
genesis,2.1.2,fj\@4.10.0,+mixed
genesis,2.1.2,fj\@4.10.0,~mixed
genesis,2.1.3,fj\@4.11.1,~mixed
genesis,2.1.3,fj\@4.11.1,+mixed
genesis,2.1.4,fj\@4.11.1,+mixed
genesis,2.1.4,fj\@4.11.1,~mixed
gmt,6.2.0,fj\@4.10.0,
gmt,6.2.0,gcc\@8.5.0,
grads,2.2.3,fj\@4.10.0,
gromacs,2020.6,fj\@4.10.0,
gromacs,2021.5,fj\@4.10.0,
gromacs,2022.4,fj\@4.10.0,
gromacs,2022.4,fj\@4.11.1,
gromacs,2023.4,fj\@4.10.0,
gromacs,2023.5,fj\@4.11.1,
gromacs,2024.1,fj\@4.10.0,
gromacs,2024.2,fj\@4.11.1,
gromacs,2024,fj\@4.10.0,
hdf5,1.14.3,fj\@4.10.0,
hphi,3.5.1,fj\@4.10.0,
htslib,1.12,fj\@4.10.0,
improved-rdock,main,fj\@4.10.0,
julia,1.10.2,gcc\@13.2.0,
julia,1.9.3,gcc\@13.2.0,
kiertaa,1.0.0b,fj\@4.10.0,
kokkos,3.7.00,fj\@4.10.0,
kokkos,4.2.01,fj\@4.10.0,
lammps,20201029,fj\@4.10.0,
lammps,20220623.2,fj\@4.10.0,
lammps,20230802.3,fj\@4.10.0,
libxc,6.2.2,fj\@4.10.0,
lis,2.1.1,fj\@4.10.0,
llvm,17.0.4,gcc\@8.5.0,
mapsplice2,2.2.1,fj\@4.10.0,
mesa,23.0.3,fj\@4.10.0,
modylas-new,1.1.0,fj\@4.10.0,ff=gaff
modylas-new,1.1.0,fj\@4.10.0,ff=charmm
modylas-new,1.1.0,fj\@4.10.0,ff=oplsaa
mpich-tofu,1.0,gcc\@8.5.0,~mt
mpich-tofu,1.0,gcc\@8.5.0,+mt
mpich-tofu,master,gcc\@8.5.0,~mt
mpich-tofu,master,gcc\@8.5.0,+mt
mptensor,0.3.0,fj\@4.10.0,
mvmc,1.2.0,fj\@4.10.0,
n2p2,2.1.4,fj\@4.10.0,
nemo,4.2.0,fj\@4.10.0,
netcdf-c,4.9.2,fj\@4.10.0,
netcdf-cxx,4.2,fj\@4.10.0,
netcdf-cxx4,4.3.1,fj\@4.10.0,
netcdf-fortran,4.6.1,fj\@4.10.0,
netlib-lapack,3.10.1,fj\@4.10.0,
netlib-scalapack,2.2.0,fj\@4.10.0,
ntchem,24.04,fj\@4.11.1,
nwchem,master,fj\@4.10.0,
octa,8.4,fj\@4.10.0,
onednn,3.0,fj\@4.10.0,
openblas,0.3.21,fj\@4.10.0,
opencv,4.8.0,fj\@4.10.0,
openfdtd,3.1.1,fj\@4.10.0,
openfoam,2012,fj\@4.10.0,
openfoam,2106,fj\@4.10.0,
openfoam,2112,fj\@4.10.0,
openfoam,2206,fj\@4.10.0,
openfoam,2212,fj\@4.10.0,
openfoam,2306,fj\@4.10.0,
openfoam,2312,fj\@4.10.0,
openfoam-org,10,fj\@4.10.0,
openfoam-org,11,fj\@4.10.0,
openfoam-org,8,fj\@4.10.0,
openfoam-org,9,fj\@4.10.0,
openjdk,11.0.20.1_1,fj\@4.10.0,
openmx,3.9.9,fj\@4.10.0,
parallel-netcdf,1.12.3,fj\@4.10.0,
paraview,5.11.2,fj\@4.10.0,~osmesa+python
paraview,5.11.2,fj\@4.10.0,+osmesa~python
paraview,5.11.2,fj\@4.10.0,+osmesa+python
parmetis,4.0.3,fj\@4.10.0,
petsc,3.19.6,fj\@4.10.0,
pfapack,2014-09-17,fj\@4.10.0,
phase0,2021.02,fj\@4.10.0,type=2d
phase0,2021.02,fj\@4.10.0,type=3d
phase0,2023.01,fj\@4.10.0,type=2d
phase0,2023.01,fj\@4.10.0,type=3d
picard,3.0.0,fj\@4.10.0,
povray,3.7.0.8,fj\@4.10.0,
py-ase,3.21.1,fj\@4.10.0,
py-dask,2022.10.2,fj\@4.10.0,
py-devito,4.8.1,fj\@4.10.0,
py-h5py,3.8.0,fj\@4.10.0,
py-hypothesis,6.23.1,fj\@4.10.0,
py-jupyterhub,0.9.4,fj\@4.10.0,
py-keras,2.4.3,fj\@4.10.0,
py-matplotlib,3.3.4,fj\@4.10.0,
py-mpi4py,3.1.4,fj\@4.10.0,
py-netcdf4,1.6.2,fj\@4.10.0,
py-numpy,1.25.2,fj\@4.10.0,
py-pandas,2.1.2,fj\@4.10.0,
py-pydmd,0.3,fj\@4.10.0,
py-pygps,1.3.5,fj\@4.10.0,
py-pymol,2.5.0,fj\@4.10.0,
py-pysam,0.21.0,fj\@4.10.0,
py-pytest,7.3.2,fj\@4.10.0,
py-pytoml,0.1.21,fj\@4.10.0,
py-scikit-learn,1.3.2,fj\@4.10.0,
py-scipy,1.8.1,fj\@4.10.0,
py-seaborn,0.12.2,fj\@4.10.0,
py-spglib,2.0.2,fj\@4.10.0,
python,3.11.6,fj\@4.10.0,
py-toml,0.10.2,fj\@4.10.0,
py-xarray,2023.7.0,fj\@4.10.0,
quantum-espresso,6.5,fj\@4.10.0,
quantum-espresso,6.6,fj\@4.10.0,
quantum-espresso,6.7,fj\@4.10.0,
quantum-espresso,6.8,fj\@4.10.0,
quantum-espresso,7.0,fj\@4.10.0,
quantum-espresso,7.1,fj\@4.10.0,
quantum-espresso,7.2,fj\@4.10.0,
quantum-espresso,7.3,fj\@4.10.0,
qulacs,0.5.5,fj\@4.11.1,
qulacs,0.5.6,fj\@4.11.1,
r,4.3.0,fj\@4.10.0,
raja,2022.10.4,fj\@4.10.0,
rdkit,2023_03_1,fj\@4.10.0,
rist-fftw,3.3.9-272-g63d6bd70,fj\@4.11.1,
ruby,3.1.0,fj\@4.10.0,
rust,1.70.0,gcc\@13.2.0,
rust,1.78.0,gcc\@13.2.0,
salmon-tddft,2.0.2,fj\@4.10.0,
salmon-tddft,2.1.0,fj\@4.10.0,
salmon-tddft,2.2.0,fj\@4.10.0,
