Name,Version,License,"Make check result",Compiler,Remarks,"Last update"
boost,1.80.0,,N/A,gcc\@12.2.0,,2023/2/2
cmake,3.24.3,,N/A,gcc\@12.2.0,,2023/2/2
darshan-util,3.4.0,,N/A,gcc\@12.2.0,,2023/3/16
gcc,12.2.0,,N/A,gcc\@8.4.1,,2023/2/2
global,6.6.7,,N/A,gcc\@12.2.0,,2023/12/3
gmt,6.2.0,,N/A,gcc\@12.2.0,,2023/2/2
gnuplot,5.4.3,,N/A,gcc\@12.2.0,,2023/2/21
hdf5,1.12.2,,N/A,gcc\@12.2.0,,2023/2/2
imagemagick,7.0.8-7,,N/A,gcc\@12.2.0,,2023/2/2
llvm,15.0.4,,N/A,gcc\@12.2.0,,2023/2/14
mercurial,5.8,,N/A,gcc\@12.2.0,,2023/2/2
mesa,22.1.2,,N/A,gcc\@12.2.0,,2023/2/22
ncview,2.1.8,,N/A,gcc\@12.2.0,,2023/4/6
netcdf-c,4.9.0,,N/A,gcc\@12.2.0,,2023/2/2
netcdf-fortran,4.6.0,,N/A,gcc\@12.2.0,,2023/2/2
omni-compiler,1.3.3,,N/A,gcc\@8.4.1,,2023/2/2
openfoam,"2012 / 2016 / 2106 / 2112 / 2206 / 2212 / 2306",,N/A,gcc\@8.4.1,,2023/12/3
openfoam-org,"8 / 9 / 10",,N/A,gcc\@8.4.1,,2023/12/3
openjdk,11.0.17_8,,N/A,gcc\@12.2.0,,2023/2/2
paraview,5.10.1,,N/A,gcc\@12.2.0,,2023/2/22
py-phonopy,2.12.0,,N/A,gcc\@8.4.1,,2023/12/3
py-pip,22.2.2,,N/A,gcc\@12.2.0,,2023/2/2
py-pytest,7.1.3,,N/A,gcc\@8.4.1,,2023/12/3
python,3.10.8,,N/A,gcc\@12.2.0,"~tkinter / +tkinter",2023/2/2
screen,4.9.0,,N/A,gcc\@12.2.0,,2023/2/2
tmux,3.2a,,N/A,gcc\@12.2.0,,2023/2/2
xterm,353,,N/A,gcc\@12.2.0,,2023/2/2
zsh,5.8,,N/A,gcc\@12.2.0,,2023/2/2
