Name, Version, Compiler, Remark
boost, 1.88.0, gcc\@15.1.0, 
cmake, 3.31.8, gcc\@15.1.0, 
darshan-util, 3.4.0, gcc\@15.1.0, 
gcc, 14.3.0, gcc\@8.5.0, 
gcc, 15.1.0, gcc\@8.5.0, 
global, 6.6.14, , 
gnuplot, 6.0.0, gcc\@15.1.0, 
hdf5, 1.12.2, gcc\@8.5.0, 
hdf5, 1.14.6, gcc\@15.1.0, 
imagemagick, 7.1.1-39, gcc\@15.1.0, 
libxml2, 2.13.5, gcc\@15.1.0, 
mercurial, 6.7.3, gcc\@15.1.0, 
nano, 8.0, gcc\@8.5.0, 
netcdf-c, 4.9.2, gcc\@15.1.0, 
netcdf-fortran, 4.6.1, gcc\@15.1.0, 
openfoam, 2412, gcc\@14.3.0, 
openfoam, 2412, gcc\@15.1.0, 
openfoam-org, 12, gcc\@15.1.0, 
openjdk, 17.0.11_9, gcc\@15.1.
py-mpi4py, 3.1.4, gcc\@8.5.0, 
py-phonopy, 2.27.0, , 
py-pip, 25.1.1, , 
py-scipy, 1.11.3, gcc\@8.5.0, 
python, 3.13.5, gcc\@15.1.0, 
screen, 4.9.1, gcc\@15.1.0, 
tmux, 3.5a, gcc\@15.1.0, 
